"
                    Venta de Autos y Partes
                ",0""
"
                    Empleos y Educación
                ",0""
"
                    Bienes Raices
                ",0""
"
                    Salud y Belleza
                ",0""
"
                    Servicios
                ",0""
"
                    Fiestas
                ",0""
"
                    En Venta
                ",0""
"
                    Comunidad
                ",0""
"
                    Adultos
                ",0""
"
                                Autos y Trucks
                                
                                
                            ",11
"
                                Partes y Accesorios de Autos
                                
                                
                            ",0
"
                                Motocicletas y Partes
                                
                                
                            ",1
"
                                Lanchas, Botes y Partes
                                
                                
                            ",0
"
                                Empleos
                                
                                
                            ",46
"
                                Educación, Cursos y Clases
                                
                                
                            ",0
"
                                Casas de Venta
                                
                                
                            ",2
"
                                Rentas
                                
                                
                            ",7
"
                                Propiedades Otros Países
                                
                                
                            ",1
"
                                Belleza
                                
                                
                            ",0
"
                                Dentistas
                                
                                
                            ",0
"
                                Salud
                                
                                
                            ",5
"
                                Servicio Automotriz
                                
                                
                            ",13
"
                                Servicios del Hogar
                                
                                
                            ",11
"
                                Servicios Legales e Inmigración
                                
                                
                            ",8
"
                                Servicios Profesionales
                                
                                
                            ",0
"
                                Servicios de Transporte
                                
                                
                            ",1
"
                                Servicios Generales
                                
                                
                            ",6
"
                                Servicios Funerarios
                                
                                
                            ",0
"
                                Telecom y Equipo Digital
                                
                                
                            ",16
"
                                Seguros
                                
                                
                            ",0
"
                                Préstamos
                                
                                
                            ",7
"
                                Oportunidad de Negocios
                                
                                
                            ",2
"
                                Fiestas, Quinceañeras y Bodas
                                
                                
                            ",11
"
                                Música para Fiestas
                                
                                
                            ",2
"
                                Dedicatorias
                                
                                
                            ",0
"
                                Compra y Venta General
                                
                                
                            ",6
"
                                Mascotas
                                
                                
                            ",18
"
                                Música y Equipo
                                
                                
                            ",0
"
                                Agricultura
                                
                                
                            ",0
"
                                Eventos
                                
                                
                            ",2
"
                                Viajes y Vacaciones
                                
                                
                            ",0
"
                                Tiempo Libre
                                
                                
                            ",0
"
                                Para Adultos
                                
                                
                            ",0
"
                                Personales
                                
                                
                            ",0
"
                                Consejos Espirituales
                                
                                
                            ",0
